Country,Year,life_expectancy,status,adult_mortality,under_5_deaths,infant_deaths,neonatal_deaths,health_expenditure_perc,tuberculosis,bmi,alcohol,diphtheria,hepatitis,measles1,measles2,polio,obesity,population,thinness_18_plus,thinness_5_9,thinness_5_19,gdp,hiv_new,hiv_perc
Afghanistan,2015,63.2,Developing,233,83,62,47,10.3,64000,23.3,0.02,65,65,62,39,60,5.2,34413603,16.7,17.5,17.5,578.5,0.04,0.1
Afghanistan,2014,63,Developing,234,86,64,49,9.7,62000,23.2,0.03,62,62,60,39,58,4.9,33370794,17,17.7,17.7,613.9,,
Afghanistan,2013,62.7,Developing,235,89,66,50,8.8,60000,23,0.03,64,64,57,35,62,4.7,32269589,17.3,18,17.9,637.2,,
Afghanistan,2012,62.2,Developing,242,93,69,52,7.9,58000,22.9,0.04,67,67,59,33,67,4.4,31161376,17.6,18.2,18.2,641.9,,
Afghanistan,2011,61.7,Developing,248,97,71,53,8.6,56000,22.8,0.04,68,68,64,31,68,4.2,30117413,17.9,18.4,18.4,591.2,,
Afghanistan,2010,61.2,Developing,255,101,74,55,8.6,55000,22.7,0.03,66,66,62,29,66,4,29185507,18.2,18.7,18.6,543.3,,
Afghanistan,2009,60.7,Developing,260,106,77,57,9.8,53000,22.6,0.03,63,63,60,24,63,3.8,28394813,18.5,18.9,18.9,438.1,,
Afghanistan,2008,60.2,Developing,265,109,79,58,10.3,52000,22.5,0.03,64,64,59,23,64,3.6,27722276,18.8,19.1,19,364.7,,
Afghanistan,2007,59.6,Developing,273,113,82,59,9.9,50000,22.4,0.03,63,63,55,4,63,3.4,27100536,19.1,19.3,19.2,359.7,,
Afghanistan,2006,59.2,Developing,276,116,84,60,10.6,49000,22.3,0.03,58,58,53,18,58,3.2,26433049,19.4,19.5,19.4,263.7,,
Afghanistan,2005,58.9,Developing,277,118,85,61,9.9,47000,22.2,0.02,58,58,50,9,58,3,25654277,19.7,19.7,19.6,242,,
Afghanistan,2004,58.4,Developing,282,120,86,62,9.8,46000,22.1,0.02,50,50,48,2,50,2.9,24726684,20,19.9,19.8,211.4,,
Afghanistan,2003,58,Developing,286,121,87,62,8.9,44000,22,0.01,41,41,39,,41,2.7,23680871,20.3,20.2,20,190.7,,
Afghanistan,2002,57.4,Developing,292,122,88,61,9.4,42000,21.9,0.01,36,36,35,,36,2.6,22600770,20.6,20.4,20.2,179.4,,
Afghanistan,2001,56.5,Developing,307,122,87,61,,40000,21.8,0,33,33,37,,35,2.4,21606988,20.9,20.5,20.4,,,
Afghanistan,2000,55.9,Developing,316,121,87,60,,38000,21.7,0,24,24,27,,24,2.3,20779953,21.2,20.7,20.6,,,
Albania,2015,76.1,Developing,92,0.1,0.1,0.1,6.8,480,26.6,4.77,99,99,97,98,99,21.1,2880703,1.4,1.3,1.3,3952.8,,
Albania,2014,76.1,Developing,98,0.1,0.1,0.1,7,470,26.5,4.81,98,98,98,98,98,20.5,2889104,1.4,1.4,1.3,4578.7,,
Albania,2013,75.7,Developing,100,0.1,0.1,0.1,6.3,550,26.4,5.06,99,99,99,99,99,19.9,2895092,1.4,1.4,1.3,4413.1,,
Albania,2012,75.2,Developing,103,0.1,0.1,0.1,5.9,470,26.3,5.43,99,99,98,99,99,19.3,2900401,1.5,1.5,1.4,4247.6,,
Albania,2011,75.1,Developing,103,0.1,0.1,0.1,5.6,490,26.2,5.65,99,99,99,99,99,18.8,2905195,1.5,1.5,1.5,4437.2,,
Albania,2010,74.7,Developing,103,0.1,0.1,0.1,5,500,26.1,5.53,99,99,99,98,99,18.2,2913021,1.5,1.6,1.5,4094.4,,
Albania,2009,74.4,Developing,103,0.1,0.1,0.1,5.1,510,26,6.04,98,98,97,98,98,17.6,2927519,1.6,1.6,1.6,4114.1,,
Albania,2008,74.2,Developing,102,1,0.1,0.1,5.6,490,25.9,5.82,99,99,98,98,99,17,2947314,1.6,1.7,1.7,4370.5,,
Albania,2007,74.1,Developing,101,1,0.1,0.1,6.1,500,25.8,5.76,98,98,97,95,99,16.5,2970017,1.7,1.8,1.7,3595,,
Albania,2006,73.9,Developing,101,1,1,0.1,5.9,540,25.7,5.46,97,97,95,94,97,16,2992547,1.8,1.8,1.8,2972.7,,
Albania,2005,73.5,Developing,106,1,1,0.1,6.3,580,25.6,5.3,98,98,97,97,97,15.4,3011487,1.8,1.9,1.9,2673.8,,
Albania,2004,73.3,Developing,101,1,1,0.1,6.6,630,25.5,4.67,97,97,96,96,98,14.9,3026939,1.9,2,1.9,2373.6,,
Albania,2003,72.9,Developing,107,1,1,0.1,6.4,640,25.4,4.43,97,97,93,93,97,14.5,3039616,2,2.1,2,1846.1,,
Albania,2002,73.5,Developing,102,1,1,0.1,6.4,680,25.3,4.01,98,98,96,93,98,14,3051010,2.1,2.1,2.1,1425.1,,
Albania,2001,74,Developing,100,1,1,1,6.5,640,25.2,4.71,97,97,95,90,97,13.6,3060173,2.1,2.2,2.2,1281.7,,
Albania,2000,73.1,Developing,106,1,1,1,6.8,690,25.2,3.98,97,97,95,,97,13.2,3089027,2.2,2.3,2.2,1126.7,,
Algeria,2015,76.2,Developing,96,24,20,15,7.1,30000,25.5,0.56,95,95,95,99,95,26.7,39728025,3.8,5.8,5.9,4177.9,0.05,0.1
Algeria,2014,76.1,Developing,98,24,21,15,6.5,28000,25.4,0.56,95,95,95,99,95,26,38923687,4,5.8,5.9,5493.1,,
Algeria,2013,75.9,Developing,100,24,21,15,6,26000,25.3,0.54,95,95,95,93,95,25.3,38140132,4.1,5.8,5.9,5499.6,,
Algeria,2012,75.8,Developing,101,24,21,15,6,27000,25.2,0.49,95,95,95,95,95,24.7,37383887,4.3,5.8,5.9,5592.2,,
Algeria,2011,75.6,Developing,103,24,21,15,5.3,27000,25.1,0.44,95,95,95,96,95,24,36661444,4.5,5.8,5.9,5455.8,,
Algeria,2010,75.4,Developing,104,24,21,15,5.1,28000,25.1,0.39,95,95,95,95,95,23.3,35977455,4.7,5.9,5.9,4480.8,,
Algeria,2009,75.1,Developing,107,23,20,15,5.4,27000,25,0.48,95,95,92,98,94,22.7,35333881,4.9,5.9,6,3883.3,,
Algeria,2008,74.8,Developing,108,23,20,15,4.2,26000,24.9,0.43,93,93,88,96,92,22,34730608,5,5.9,6,4923.6,,
Algeria,2007,74.4,Developing,111,23,20,14,3.8,27000,24.8,0.39,95,95,92,95,95,21.4,34166972,5.2,6,6,3950.5,,
Algeria,2006,74,Developing,115,23,20,14,3.4,26000,24.7,0.43,95,95,91,98,95,20.8,33641002,5.4,6,6.1,3478.7,,
Algeria,2005,73.4,Developing,119,22,19,14,3.2,27000,24.7,0.55,88,88,83,94,88,20.2,33149724,5.6,6.1,6.2,3113.1,,
Algeria,2004,72.8,Developing,125,22,19,13,3.5,25000,24.6,0.52,86,86,81,94,86,19.6,32692163,5.8,6.1,6.2,2610,,
Algeria,2003,72,Developing,133,23,20,13,3.6,25000,24.5,0.39,87,87,84,96,87,19.1,32264157,6,6.2,6.3,2103.4,,
Algeria,2002,71.7,Developing,135,23,20,13,3.7,24000,24.4,0.43,86,86,81,93,86,18.5,31855109,6.2,6.3,6.4,1781.8,,
Algeria,2001,71.2,Developing,139,24,20,13,3.8,23000,24.4,0.27,89,89,83,73,89,17.9,31451514,6.3,6.4,6.5,1740.6,,
